text_id,en,cn,ru
"resource.adamantium.name","Adamantium","精金矿","Адамантий"
"resource.adamantium.desc","A strong metal used for advanced buildings and ships.","用于高级建筑和舰船制造的坚固金属","Прочный металл, используемый для продвинутых зданий и кораблей."
"resource.adamantium.acquire","Mine","矿场","Шахта"
"resource.plasteel.name","Plasteel","塑钢矿","Пласталь"
"resource.plasteel.desc","A lightweight and strong material used for buildings and equipment.","轻质且坚固的材料，广泛用于建筑和装备","Легкий и прочный материал, используемый для зданий и снаряжения."
"resource.plasteel.acquire","Mine","矿场","Шахта"
"resource.ceramite.name","Ceramite","陶钢矿","Керамит"
"resource.ceramite.desc","A heat-resistant and corrosion-resistant material used for armor and protective buildings.","耐热、耐腐蚀的材料，用于制造装甲和防护建筑","Жаропрочный и коррозионностойкий материал, используемый для брони и защитных сооружений."
"resource.ceramite.acquire","Mine","矿场","Шахта"
"resource.promethium.name","Promethium","钷素","Прометий"
"resource.promethium.desc","Fuel used to power ships and machinery.","用于驱动飞船和机械的燃料","Топливо, используемое для питания кораблей и механизмов."
"resource.promethium.acquire","Refinery","提炼厂","Перерабатывающий завод"
"resource.agriculture.name","Agriculture","农业点","Сельское хозяйство"
"resource.agriculture.desc","Used to develop agriculture to provide food and maintain social stability.","用于发展农业提供食物供养人口，维持社会稳定","Используется для развития сельского хозяйства, обеспечения продовольствием и поддержания социальной стабильности."
"resource.agriculture.acquire","Farm/Hydroponics Farm/Void Farm","农场/水培农场/虚空农场","Ферма/Гидропонная ферма/Космическая ферма"
"resource.promethazine.name","Promethazine","燃素","Прометазин"
"resource.promethazine.desc","Mainly used for weapon production, and a small amount is used for advanced resource collection buildings.","主要用于武器生产，少量用于高级的资源采集建筑","В основном используется для производства оружия, а также в небольших количествах для продвинутых зданий по сбору ресурсов."
"resource.promethazine.acquire","Refinery","提炼厂","Перерабатывающий завод"
"resource.population.name","Population","人口","Население"
"resource.population.desc","Represents the human resources on the planet, used for building construction and maintenance.","代表星球上的人力资源，用于建筑建造和维护。","Представляет человеческие ресурсы на планете, используемые для строительства и обслуживания зданий."
"resource.population.acquire","Settlements, Cities, Hive Cities","居民点、城市、巢都城市","Поселения, Города, Города-ульи"
"resource.faith.name","Faith","信仰","Вера"
"resource.faith.desc","Represents the loyalty of the planet's inhabitants to the Emperor.","代表星球居民对帝皇的忠诚度。","Представляет лояльность жителей планеты Императору."
"resource.faith.acquire","Churches, Cathedrals","教堂、大教堂","Церкви, Соборы"
"resource.chemicals.name","Chemicals","化学品","Химикаты"
"resource.chemicals.desc","Used to make medicines, explosives, and special materials.","用于制造药物、炸药和特殊材料","Используются для изготовления лекарств, взрывчатых веществ и специальных материалов."
"resource.chemicals.acquire","Chemical Plants, Advanced Chemical Plants","化工厂、高级化工厂","Химические заводы, Продвинутые химические заводы"
"resource.components.name","Components","零件","Компоненты"
"resource.components.desc","Used for mechanical maintenance, building upgrades, and manufacturing.","用于机械维护、建筑升级和制造","Используются для технического обслуживания, модернизации зданий и производства."
"resource.components.acquire","Workshops, Processing Plants, Foundry Factories","工作坊、加工厂、铸造工厂","Мастерские, Перерабатывающие заводы, Литейные заводы"
"resource.weaponry.name","Weaponry","武器","Вооружение"
"resource.weaponry.desc","Used to equip troops, ships, and defensive facilities.","用于装备军队、舰船和防御设施","Используется для оснащения войск, кораблей и оборонительных сооружений."
